代碼,日期,淨值,幣別,名稱,來源,資產類型,投資區域
B22058,2018-01-02,9.688199996948242,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-03,9.697298049926758,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-04,9.697298049926758,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-05,9.688199996948242,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-08,9.688199996948242,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-09,9.660909652709961,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-10,9.660909652709961,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-11,9.670003890991211,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-12,9.663443565368652,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-16,9.663443565368652,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-17,9.645246505737305,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-18,9.627047538757324,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-19,9.60884952545166,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-22,9.599754333496094,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-23,9.627047538757324,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-24,9.617951393127441,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-25,9.627047538757324,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-26,9.617951393127441,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-29,9.599754333496094,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-30,9.581550598144531,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-01-31,9.590651512145996,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-02-01,9.56335163116455,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-02-02,9.536057472229004,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-02-05,9.572455406188965,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-02-06,9.536057472229004,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-02-07,9.51785659790039,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-02-08,9.508760452270508,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-02-09,9.481454849243164,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-02-12,9.481454849243164,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-02-13,9.472357749938965,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-02-14,9.44506549835205,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-02-15,9.457841873168945,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
B22058,2018-02-16,9.476045608520508,歐元,駿利亨德森資產管理基金 - 駿利亨德森靈活入息基金 B1 月配 歐元避險,yfinance,未分類,美國
