代碼,日期,淨值,幣別,名稱,來源,資產類型,投資區域,發行,系列
B20056,2021-01-04,115.46405792236328,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-05,114.77501678466797,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-06,115.75804138183594,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-07,118.97354125976562,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-08,120.00250244140625,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-11,118.57850646972656,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-12,119.08377838134766,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-13,119.41451263427734,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-14,119.78201293945312,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-15,119.6258316040039,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-18,117.96295928955078,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-19,118.90922546386719,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-20,119.14810180664062,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-21,119.48802185058594,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-22,117.5954818725586,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-25,117.85270690917969,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-26,116.96156311035156,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-27,116.15309143066406,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-28,112.99271392822266,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-01-29,114.68315124511719,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-02-01,114.79338836669922,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
B20056,2021-02-02,116.18065643310547,歐元,安聯歐洲基金-A配息類股(歐元),yfinance,股票型,歐洲(含歐元區),A0036 安聯投信,安聯DIT
