代碼,日期,淨值,幣別,名稱,投信代碼,投信,分類
T3640A,2026-07-13,15.17,TWD,安聯AI收益成長多重資產基金-A類型(累積)-新臺幣(本基金有相當比重投資於非投,A0036,安聯投信,主動ETF-股
T3640B,2026-07-13,13.26,TWD,安聯AI收益成長多重資產基金-B類型(月配息)-新臺幣(本基金有相當比重投資於非,A0036,安聯投信,被動ETF/共同基金
T3640C,2026-07-13,13.25,TWD,安聯AI收益成長多重資產基金-N類型(月配息)-新臺幣(本基金有相當比重投資於非,A0036,安聯投信,被動ETF/共同基金
T3640D,2026-07-13,14.33,TWD,安聯AI收益成長多重資產基金-HA類型(累積)-新臺幣(避險)(本基金有相當比重,A0036,安聯投信,主動ETF-債
T3640E,2026-07-13,12.53,TWD,安聯AI收益成長多重資產基金-HB類型(月配息)-新臺幣(避險)(本基金有相當比,A0036,安聯投信,被動ETF/共同基金
T3640F,2026-07-13,12.53,TWD,安聯AI收益成長多重資產基金-HN類型(月配息)-新臺幣(避險)(本基金有相當比,A0036,安聯投信,被動ETF/共同基金
T3640G,2026-07-13,14.31,CNY,安聯AI收益成長多重資產基金-HA類型(累積)-人民幣(避險)(本基金有相當比重,A0036,安聯投信,被動ETF/共同基金
T3640H,2026-07-13,12.52,CNY,安聯AI收益成長多重資產基金-HB類型(月配息)-人民幣(避險)(本基金有相當比,A0036,安聯投信,被動ETF/共同基金
T3640J,2026-07-13,12.52,CNY,安聯AI收益成長多重資產基金-HN類型(月配息)-人民幣(避險)(本基金有相當比,A0036,安聯投信,被動ETF/共同基金
T3640K,2026-07-13,15.07,USD,安聯AI收益成長多重資產基金-A類型(累積)-美元(本基金有相當比重投資於非投資,A0036,安聯投信,被動ETF/共同基金
T3640L,2026-07-13,13.21,USD,安聯AI收益成長多重資產基金-B類型(月配息)-美元(本基金有相當比重投資於非投,A0036,安聯投信,被動ETF/共同基金
T3640M,2026-07-13,13.21,USD,安聯AI收益成長多重資產基金-N類型(月配息)-美元(本基金有相當比重投資於非投,A0036,安聯投信,被動ETF/共同基金
T3640N,2026-07-13,13.89,TWD,安聯AI收益成長多重資產基金-C類型(累積)-新臺幣(本基金有相當比重投資於非投,A0036,安聯投信,被動ETF/共同基金
T3640P,2026-07-13,14.96,USD,安聯AI收益成長多重資產基金-C類型(累積)-美元(本基金有相當比重投資於非投資,A0036,安聯投信,被動ETF/共同基金
